com.google.javascript.jscomp.parsing.TypeSafeDispatcher:145	1.0 2.0 0.3333333333333333
com.google.javascript.jscomp.JSError:187	2.0 12.0 0.3086066999241838
com.google.javascript.jscomp.parsing.TypeSafeDispatcher:232	1.0 3.0 0.2886751345948129
com.google.javascript.jscomp.CheckGlobalThis:89	3.0 36.0 0.2773500981126145
com.google.javascript.jscomp.Compiler:216	3.0 37.0 0.27386127875258304
com.google.javascript.jscomp.LineNumberCheck:42	3.0 37.0 0.27386127875258304
com.google.javascript.jscomp.LineNumberCheck:43	3.0 37.0 0.27386127875258304
com.google.javascript.jscomp.LineNumberCheck:52	3.0 37.0 0.27386127875258304
com.google.javascript.rhino.testing.BaseJSTypeTestCase:226	3.0 37.0 0.27386127875258304
com.google.javascript.rhino.testing.BaseJSTypeTestCase:227	3.0 37.0 0.27386127875258304
com.google.javascript.rhino.testing.BaseJSTypeTestCase:228	3.0 37.0 0.27386127875258304
com.google.javascript.rhino.testing.BaseJSTypeTestCase:229	3.0 37.0 0.27386127875258304
com.google.javascript.rhino.testing.BaseJSTypeTestCase:231	3.0 37.0 0.27386127875258304
com.google.javascript.rhino.testing.BaseJSTypeTestCase:233	3.0 37.0 0.27386127875258304
com.google.javascript.rhino.testing.BaseJSTypeTestCase:235	3.0 37.0 0.27386127875258304
com.google.javascript.rhino.testing.BaseJSTypeTestCase:237	3.0 37.0 0.27386127875258304
com.google.javascript.rhino.testing.BaseJSTypeTestCase:239	3.0 37.0 0.27386127875258304
com.google.javascript.rhino.testing.BaseJSTypeTestCase:241	3.0 37.0 0.27386127875258304
com.google.javascript.rhino.testing.BaseJSTypeTestCase:243	3.0 37.0 0.27386127875258304
com.google.javascript.rhino.testing.BaseJSTypeTestCase:246	3.0 37.0 0.27386127875258304
com.google.javascript.rhino.testing.BaseJSTypeTestCase:249	3.0 37.0 0.27386127875258304
com.google.javascript.rhino.testing.BaseJSTypeTestCase:250	3.0 37.0 0.27386127875258304
com.google.javascript.rhino.testing.BaseJSTypeTestCase:251	3.0 37.0 0.27386127875258304
com.google.javascript.rhino.testing.BaseJSTypeTestCase:252	3.0 37.0 0.27386127875258304
com.google.javascript.rhino.testing.BaseJSTypeTestCase:253	3.0 37.0 0.27386127875258304
com.google.javascript.rhino.testing.BaseJSTypeTestCase:254	3.0 37.0 0.27386127875258304
com.google.javascript.rhino.testing.BaseJSTypeTestCase:255	3.0 37.0 0.27386127875258304
com.google.javascript.rhino.testing.BaseJSTypeTestCase:257	3.0 37.0 0.27386127875258304
com.google.javascript.rhino.testing.BaseJSTypeTestCase:260	3.0 37.0 0.27386127875258304
com.google.javascript.rhino.testing.BaseJSTypeTestCase:261	3.0 37.0 0.27386127875258304
com.google.javascript.rhino.testing.BaseJSTypeTestCase:262	3.0 37.0 0.27386127875258304
com.google.javascript.rhino.testing.BaseJSTypeTestCase:263	3.0 37.0 0.27386127875258304
com.google.javascript.rhino.testing.BaseJSTypeTestCase:264	3.0 37.0 0.27386127875258304
com.google.javascript.rhino.testing.BaseJSTypeTestCase:265	3.0 37.0 0.27386127875258304
com.google.javascript.rhino.testing.BaseJSTypeTestCase:266	3.0 37.0 0.27386127875258304
com.google.javascript.rhino.testing.BaseJSTypeTestCase:267	3.0 37.0 0.27386127875258304
com.google.javascript.rhino.testing.BaseJSTypeTestCase:268	3.0 37.0 0.27386127875258304
com.google.javascript.rhino.testing.BaseJSTypeTestCase:269	3.0 37.0 0.27386127875258304
com.google.javascript.rhino.testing.BaseJSTypeTestCase:270	3.0 37.0 0.27386127875258304
com.google.javascript.rhino.testing.BaseJSTypeTestCase:271	3.0 37.0 0.27386127875258304
com.google.javascript.rhino.testing.BaseJSTypeTestCase:272	3.0 37.0 0.27386127875258304
