com.google.javascript.jscomp.parsing.TypeSafeDispatcher:254	8.0 9.0 0.6467616667635546
com.google.javascript.jscomp.CheckGlobalThis:140	9.0 13.0 0.6396021490668313
com.google.javascript.jscomp.CheckGlobalThis:146	5.0 6.0 0.502518907629606
com.google.javascript.jscomp.Compiler:216	9.0 27.0 0.5
com.google.javascript.jscomp.LineNumberCheck:42	9.0 27.0 0.5
com.google.javascript.jscomp.LineNumberCheck:43	9.0 27.0 0.5
com.google.javascript.jscomp.LineNumberCheck:52	9.0 27.0 0.5
com.google.javascript.rhino.testing.BaseJSTypeTestCase:226	9.0 27.0 0.5
com.google.javascript.rhino.testing.BaseJSTypeTestCase:227	9.0 27.0 0.5
com.google.javascript.rhino.testing.BaseJSTypeTestCase:228	9.0 27.0 0.5
com.google.javascript.rhino.testing.BaseJSTypeTestCase:229	9.0 27.0 0.5
com.google.javascript.rhino.testing.BaseJSTypeTestCase:231	9.0 27.0 0.5
com.google.javascript.rhino.testing.BaseJSTypeTestCase:233	9.0 27.0 0.5
com.google.javascript.rhino.testing.BaseJSTypeTestCase:235	9.0 27.0 0.5
com.google.javascript.rhino.testing.BaseJSTypeTestCase:237	9.0 27.0 0.5
com.google.javascript.rhino.testing.BaseJSTypeTestCase:239	9.0 27.0 0.5
com.google.javascript.rhino.testing.BaseJSTypeTestCase:241	9.0 27.0 0.5
com.google.javascript.rhino.testing.BaseJSTypeTestCase:243	9.0 27.0 0.5
com.google.javascript.rhino.testing.BaseJSTypeTestCase:246	9.0 27.0 0.5
com.google.javascript.rhino.testing.BaseJSTypeTestCase:249	9.0 27.0 0.5
com.google.javascript.rhino.testing.BaseJSTypeTestCase:250	9.0 27.0 0.5
com.google.javascript.rhino.testing.BaseJSTypeTestCase:251	9.0 27.0 0.5
com.google.javascript.rhino.testing.BaseJSTypeTestCase:252	9.0 27.0 0.5
com.google.javascript.rhino.testing.BaseJSTypeTestCase:253	9.0 27.0 0.5
com.google.javascript.rhino.testing.BaseJSTypeTestCase:254	9.0 27.0 0.5
com.google.javascript.rhino.testing.BaseJSTypeTestCase:255	9.0 27.0 0.5
com.google.javascript.rhino.testing.BaseJSTypeTestCase:257	9.0 27.0 0.5
com.google.javascript.rhino.testing.BaseJSTypeTestCase:260	9.0 27.0 0.5
com.google.javascript.rhino.testing.BaseJSTypeTestCase:261	9.0 27.0 0.5
com.google.javascript.rhino.testing.BaseJSTypeTestCase:262	9.0 27.0 0.5
com.google.javascript.rhino.testing.BaseJSTypeTestCase:263	9.0 27.0 0.5
com.google.javascript.rhino.testing.BaseJSTypeTestCase:264	9.0 27.0 0.5
com.google.javascript.rhino.testing.BaseJSTypeTestCase:265	9.0 27.0 0.5
com.google.javascript.rhino.testing.BaseJSTypeTestCase:266	9.0 27.0 0.5
com.google.javascript.rhino.testing.BaseJSTypeTestCase:267	9.0 27.0 0.5
com.google.javascript.rhino.testing.BaseJSTypeTestCase:268	9.0 27.0 0.5
com.google.javascript.rhino.testing.BaseJSTypeTestCase:269	9.0 27.0 0.5
com.google.javascript.rhino.testing.BaseJSTypeTestCase:270	9.0 27.0 0.5
com.google.javascript.rhino.testing.BaseJSTypeTestCase:271	9.0 27.0 0.5
com.google.javascript.rhino.testing.BaseJSTypeTestCase:272	9.0 27.0 0.5
com.google.javascript.rhino.testing.BaseJSTypeTestCase:273	9.0 27.0 0.5
com.google.javascript.rhino.testing.BaseJSTypeTestCase:275	9.0 27.0 0.5
com.google.javascript.rhino.testing.BaseJSTypeTestCase:278	9.0 27.0 0.5
com.google.javascript.rhino.testing.BaseJSTypeTestCase:279	9.0 27.0 0.5
com.google.javascript.rhino.testing.BaseJSTypeTestCase:280	9.0 27.0 0.5
com.google.javascript.rhino.testing.BaseJSTypeTestCase:282	9.0 27.0 0.5
com.google.javascript.rhino.testing.BaseJSTypeTestCase:285	9.0 27.0 0.5
com.google.javascript.rhino.testing.BaseJSTypeTestCase:286	9.0 27.0 0.5
com.google.javascript.rhino.testing.BaseJSTypeTestCase:287	9.0 27.0 0.5
com.google.javascript.rhino.testing.BaseJSTypeTestCase:288	9.0 27.0 0.5
com.google.javascript.rhino.testing.BaseJSTypeTestCase:289	9.0 27.0 0.5
com.google.javascript.rhino.testing.BaseJSTypeTestCase:290	9.0 27.0 0.5
com.google.javascript.rhino.testing.BaseJSTypeTestCase:291	9.0 27.0 0.5
com.google.javascript.rhino.testing.BaseJSTypeTestCase:292	9.0 27.0 0.5
