org.joda.time.DateTimeZone:314	1.0 1.0 0.7071067811865475
org.joda.time.DateTimeZone:320	1.0 5.0 0.4082482904638631
org.joda.time.DateTimeZone:302	1.0 6.0 0.3779644730092272
org.joda.time.DateTimeZone:305	1.0 6.0 0.3779644730092272
org.joda.time.DateTimeZone:306	1.0 6.0 0.3779644730092272
org.joda.time.DateTimeZone:311	1.0 6.0 0.3779644730092272
org.joda.time.DateTimeZone:312	1.0 6.0 0.3779644730092272
org.joda.time.DateTimeZone:316	1.0 6.0 0.3779644730092272
org.joda.time.DateTimeZone:559	1.0 6.0 0.3779644730092272
org.joda.time.DateTimeZone:560	1.0 6.0 0.3779644730092272
org.joda.time.DateTimeZone:562	1.0 6.0 0.3779644730092272
org.joda.time.DateTimeZone:563	1.0 6.0 0.3779644730092272
org.joda.time.DateTimeZone:564	1.0 6.0 0.3779644730092272
org.joda.time.DateTimeZone:565	1.0 6.0 0.3779644730092272
org.joda.time.DateTimeZone:566	1.0 6.0 0.3779644730092272
org.joda.time.DateTimeZone:567	1.0 6.0 0.3779644730092272
org.joda.time.DateTimeZone:568	1.0 6.0 0.3779644730092272
org.joda.time.DateTimeZone:569	1.0 6.0 0.3779644730092272
org.joda.time.DateTimeZone:570	1.0 6.0 0.3779644730092272
org.joda.time.DateTimeZone:571	1.0 6.0 0.3779644730092272
org.joda.time.DateTimeZone:572	1.0 6.0 0.3779644730092272
org.joda.time.DateTimeZone:573	1.0 6.0 0.3779644730092272
org.joda.time.DateTimeZone:574	1.0 6.0 0.3779644730092272
org.joda.time.DateTimeZone:575	1.0 6.0 0.3779644730092272
org.joda.time.DateTimeZone:576	1.0 6.0 0.3779644730092272
org.joda.time.DateTimeZone:577	1.0 6.0 0.3779644730092272
org.joda.time.DateTimeZone:174	1.0 2884.0 0.018617745583356375
org.joda.time.DateTimeZone:175	1.0 2884.0 0.018617745583356375
org.joda.time.DateTimeZone:133	1.0 3238.0 0.01757092099429725
org.joda.time.DateTimeZone:134	1.0 3238.0 0.01757092099429725
org.joda.time.DateTimeZone:135	1.0 3238.0 0.01757092099429725
org.joda.time.DateTimeZone:136	1.0 3238.0 0.01757092099429725
org.joda.time.DateTimeZone:137	1.0 3238.0 0.01757092099429725
org.joda.time.DateTimeZone:138	1.0 3238.0 0.01757092099429725
org.joda.time.DateTimeZone:141	1.0 3238.0 0.01757092099429725
org.joda.time.DateTimeZone:147	1.0 3238.0 0.01757092099429725
org.joda.time.DateTimeZone:148	1.0 3238.0 0.01757092099429725
org.joda.time.tz.CachedDateTimeZone:39	1.0 3518.0 0.016857391247472455
org.joda.time.tz.CachedDateTimeZone:42	1.0 3518.0 0.016857391247472455
org.joda.time.tz.CachedDateTimeZone:45	1.0 3518.0 0.016857391247472455
org.joda.time.tz.CachedDateTimeZone:48	1.0 3518.0 0.016857391247472455
org.joda.time.tz.CachedDateTimeZone:61	1.0 3518.0 0.016857391247472455
org.joda.time.tz.CachedDateTimeZone:62	1.0 3518.0 0.016857391247472455
org.joda.time.tz.CachedDateTimeZone:68	1.0 3518.0 0.016857391247472455
org.joda.time.tz.CachedDateTimeZone:71	1.0 3518.0 0.016857391247472455
org.joda.time.tz.CachedDateTimeZone:87	1.0 3518.0 0.016857391247472455
org.joda.time.tz.CachedDateTimeZone:88	1.0 3518.0 0.016857391247472455
org.joda.time.tz.CachedDateTimeZone:89	1.0 3518.0 0.016857391247472455
org.joda.time.tz.CachedDateTimeZone:90	1.0 3518.0 0.016857391247472455
org.joda.time.tz.DateTimeZoneBuilder:95	1.0 3518.0 0.016857391247472455
org.joda.time.tz.DateTimeZoneBuilder:98	1.0 3518.0 0.016857391247472455
org.joda.time.tz.DateTimeZoneBuilder:110	1.0 3518.0 0.016857391247472455
org.joda.time.tz.DateTimeZoneBuilder:119	1.0 3518.0 0.016857391247472455
org.joda.time.tz.DateTimeZoneBuilder:183	1.0 3518.0 0.016857391247472455
org.joda.time.tz.DateTimeZoneBuilder:184	1.0 3518.0 0.016857391247472455
org.joda.time.tz.DateTimeZoneBuilder:187	1.0 3518.0 0.016857391247472455
org.joda.time.tz.DateTimeZoneBuilder:188	1.0 3518.0 0.016857391247472455
org.joda.time.tz.DateTimeZoneBuilder:192	1.0 3518.0 0.016857391247472455
org.joda.time.tz.DateTimeZoneBuilder:193	1.0 3518.0 0.016857391247472455
org.joda.time.tz.DateTimeZoneBuilder:194	1.0 3518.0 0.016857391247472455
org.joda.time.tz.DateTimeZoneBuilder:195	1.0 3518.0 0.016857391247472455
org.joda.time.tz.DateTimeZoneBuilder:196	1.0 3518.0 0.016857391247472455
org.joda.time.tz.DateTimeZoneBuilder:200	1.0 3518.0 0.016857391247472455
org.joda.time.tz.DateTimeZoneBuilder:201	1.0 3518.0 0.016857391247472455
org.joda.time.tz.DateTimeZoneBuilder:202	1.0 3518.0 0.016857391247472455
org.joda.time.tz.DateTimeZoneBuilder:203	1.0 3518.0 0.016857391247472455
org.joda.time.tz.DateTimeZoneBuilder:204	1.0 3518.0 0.016857391247472455
org.joda.time.tz.DateTimeZoneBuilder:205	1.0 3518.0 0.016857391247472455
org.joda.time.tz.DateTimeZoneBuilder:209	1.0 3518.0 0.016857391247472455
org.joda.time.tz.DateTimeZoneBuilder:1166	1.0 3518.0 0.016857391247472455
org.joda.time.tz.DateTimeZoneBuilder:1176	1.0 3518.0 0.016857391247472455
org.joda.time.tz.DateTimeZoneBuilder:1177	1.0 3518.0 0.016857391247472455
org.joda.time.tz.DateTimeZoneBuilder:1178	1.0 3518.0 0.016857391247472455
org.joda.time.tz.DateTimeZoneBuilder:1179	1.0 3518.0 0.016857391247472455
org.joda.time.tz.DateTimeZoneBuilder:1180	1.0 3518.0 0.016857391247472455
org.joda.time.tz.DateTimeZoneBuilder:482	1.0 3518.0 0.016857391247472455
org.joda.time.tz.DateTimeZoneBuilder:504	1.0 3518.0 0.016857391247472455
org.joda.time.tz.DateTimeZoneBuilder:505	1.0 3518.0 0.016857391247472455
org.joda.time.tz.DateTimeZoneBuilder:509	1.0 3518.0 0.016857391247472455
org.joda.time.tz.DateTimeZoneBuilder:510	1.0 3518.0 0.016857391247472455
org.joda.time.tz.DateTimeZoneBuilder:511	1.0 3518.0 0.016857391247472455
org.joda.time.tz.DateTimeZoneBuilder:512	1.0 3518.0 0.016857391247472455
org.joda.time.tz.DateTimeZoneBuilder:513	1.0 3518.0 0.016857391247472455
org.joda.time.tz.DateTimeZoneBuilder:514	1.0 3518.0 0.016857391247472455
org.joda.time.tz.DateTimeZoneBuilder:515	1.0 3518.0 0.016857391247472455
org.joda.time.tz.DateTimeZoneBuilder:1341	1.0 3518.0 0.016857391247472455
org.joda.time.tz.DateTimeZoneBuilder:1342	1.0 3518.0 0.016857391247472455
org.joda.time.tz.DateTimeZoneBuilder:1343	1.0 3518.0 0.016857391247472455
org.joda.time.tz.DateTimeZoneBuilder:1344	1.0 3518.0 0.016857391247472455
org.joda.time.tz.DateTimeZoneBuilder:1347	1.0 3518.0 0.016857391247472455
org.joda.time.tz.DateTimeZoneBuilder:1348	1.0 3518.0 0.016857391247472455
org.joda.time.tz.DateTimeZoneBuilder:1349	1.0 3518.0 0.016857391247472455
org.joda.time.tz.DateTimeZoneBuilder:1350	1.0 3518.0 0.016857391247472455
org.joda.time.tz.DateTimeZoneBuilder:1351	1.0 3518.0 0.016857391247472455
org.joda.time.tz.DateTimeZoneBuilder:1353	1.0 3518.0 0.016857391247472455
org.joda.time.tz.DateTimeZoneBuilder:1354	1.0 3518.0 0.016857391247472455
org.joda.time.tz.DateTimeZoneBuilder:1355	1.0 3518.0 0.016857391247472455
org.joda.time.tz.DateTimeZoneBuilder:1356	1.0 3518.0 0.016857391247472455
org.joda.time.tz.DateTimeZoneBuilder:1359	1.0 3518.0 0.016857391247472455
org.joda.time.tz.DateTimeZoneBuilder:1360	1.0 3518.0 0.016857391247472455
