com.google.javascript.rhino.Node:1459	5.0 0.0 1.0
com.google.javascript.jscomp.FunctionInjector:731	4.0 3.0 0.6761234037828132
com.google.javascript.jscomp.FunctionArgumentInjector:465	2.0 6.0 0.31622776601683794
com.google.javascript.rhino.Token:202	1.0 1.0 0.31622776601683794
com.google.javascript.jscomp.NodeUtil:1149	4.0 50.0 0.24343224778007383
com.google.javascript.jscomp.FunctionInjector:379	2.0 13.0 0.23094010767585027
com.google.javascript.jscomp.FunctionInjector:383	2.0 13.0 0.23094010767585027
com.google.javascript.jscomp.FunctionInjector:730	4.0 57.0 0.2290393337255473
com.google.javascript.jscomp.FunctionInjector:729	4.0 59.0 0.2253744679276044
com.google.javascript.jscomp.FunctionArgumentInjector:67	4.0 68.0 0.21081851067789195
com.google.javascript.jscomp.FunctionArgumentInjector:72	4.0 68.0 0.21081851067789195
com.google.javascript.jscomp.FunctionArgumentInjector:73	4.0 68.0 0.21081851067789195
com.google.javascript.jscomp.FunctionArgumentInjector:74	4.0 68.0 0.21081851067789195
com.google.javascript.jscomp.FunctionInjector:728	4.0 70.0 0.20795009796401456
com.google.javascript.jscomp.FunctionArgumentInjector:444	2.0 18.0 0.2
com.google.javascript.rhino.Token:210	1.0 4.0 0.2
com.google.javascript.jscomp.MarkNoSideEffectCalls:146	2.0 18.0 0.2
com.google.javascript.jscomp.MarkNoSideEffectCalls:147	2.0 18.0 0.2
com.google.javascript.rhino.Token:232	4.0 84.0 0.19069251784911848
com.google.javascript.rhino.Token:184	5.0 143.0 0.18380365552345193
com.google.javascript.jscomp.MarkNoSideEffectCalls:152	1.0 5.0 0.18257418583505536
com.google.javascript.jscomp.CodeGenerator:665	1.0 5.0 0.18257418583505536
com.google.javascript.jscomp.CodeGenerator:666	1.0 5.0 0.18257418583505536
com.google.javascript.jscomp.CodeGenerator:667	1.0 5.0 0.18257418583505536
com.google.javascript.jscomp.InlineFunctions:558	5.0 173.0 0.16760038078849773
com.google.javascript.jscomp.FunctionArgumentInjector:131	4.0 112.0 0.16609095970747995
com.google.javascript.jscomp.FunctionArgumentInjector:132	4.0 112.0 0.16609095970747995
com.google.javascript.rhino.Token:265	5.0 178.0 0.16529490122682156
com.google.javascript.jscomp.FunctionArgumentInjector:130	4.0 118.0 0.1619552660357832
com.google.javascript.jscomp.FunctionArgumentInjector:137	4.0 118.0 0.1619552660357832
com.google.javascript.jscomp.FunctionArgumentInjector:232	4.0 118.0 0.1619552660357832
com.google.javascript.jscomp.FunctionArgumentInjector:233	4.0 118.0 0.1619552660357832
com.google.javascript.jscomp.FunctionArgumentInjector:200	4.0 123.0 0.158735158026509
com.google.javascript.jscomp.FunctionArgumentInjector:441	2.0 30.0 0.15811388300841897
com.google.javascript.jscomp.FunctionArgumentInjector:443	2.0 30.0 0.15811388300841897
com.google.javascript.jscomp.FunctionArgumentInjector:446	2.0 30.0 0.15811388300841897
com.google.javascript.jscomp.FunctionArgumentInjector:461	2.0 30.0 0.15811388300841897
com.google.javascript.jscomp.FunctionInjector:699	4.0 127.0 0.15629293303291272
com.google.javascript.jscomp.FunctionInjector:700	4.0 127.0 0.15629293303291272
com.google.javascript.jscomp.FunctionInjector:701	4.0 127.0 0.15629293303291272
com.google.javascript.jscomp.FunctionInjector:702	4.0 127.0 0.15629293303291272
com.google.javascript.jscomp.FunctionToBlockMutator:405	3.0 71.0 0.1559625734730109
com.google.javascript.rhino.Token:230	5.0 209.0 0.15285446012893578
com.google.javascript.rhino.Token:249	5.0 209.0 0.15285446012893578
com.google.javascript.rhino.Node:879	5.0 210.0 0.15249857033260467
com.google.javascript.rhino.Node:883	5.0 210.0 0.15249857033260467
com.google.javascript.rhino.Node:971	5.0 210.0 0.15249857033260467
com.google.javascript.rhino.Node:981	5.0 210.0 0.15249857033260467
com.google.javascript.rhino.Node:982	5.0 210.0 0.15249857033260467
com.google.javascript.rhino.Node:983	5.0 210.0 0.15249857033260467
com.google.javascript.rhino.Node:984	5.0 210.0 0.15249857033260467
com.google.javascript.rhino.Node:986	5.0 210.0 0.15249857033260467
com.google.javascript.rhino.Node:1033	5.0 210.0 0.15249857033260467
com.google.javascript.rhino.Node:1036	5.0 210.0 0.15249857033260467
com.google.javascript.rhino.Node:977	5.0 211.0 0.15214515486254615
com.google.javascript.rhino.Token:263	5.0 211.0 0.15214515486254615
com.google.javascript.rhino.Token:266	5.0 211.0 0.15214515486254615
com.google.javascript.jscomp.InlineFunctions:187	2.0 34.0 0.14907119849998599
com.google.javascript.jscomp.InlineFunctions:1047	2.0 34.0 0.14907119849998599
com.google.javascript.jscomp.FunctionArgumentInjector:411	3.0 78.0 0.14907119849998599
com.google.javascript.jscomp.Normalize:315	5.0 222.0 0.1484130442988812
com.google.javascript.jscomp.Normalize:317	5.0 222.0 0.1484130442988812
com.google.javascript.jscomp.Normalize:318	5.0 222.0 0.1484130442988812
com.google.javascript.jscomp.Normalize:330	5.0 222.0 0.1484130442988812
com.google.javascript.jscomp.FunctionInjector:725	4.0 145.0 0.14654866108946232
com.google.javascript.jscomp.FunctionInjector:726	4.0 145.0 0.14654866108946232
com.google.javascript.jscomp.FunctionArgumentInjector:419	3.0 81.0 0.14638501094227999
com.google.javascript.jscomp.FunctionInjector:695	4.0 149.0 0.14462030521243746
com.google.javascript.jscomp.FunctionInjector:697	4.0 149.0 0.14462030521243746
com.google.javascript.jscomp.FunctionInjector:698	4.0 149.0 0.14462030521243746
com.google.javascript.jscomp.FunctionInjector:706	4.0 149.0 0.14462030521243746
com.google.javascript.jscomp.FunctionInjector:691	4.0 151.0 0.14368424162141993
com.google.javascript.jscomp.InlineFunctions:136	5.0 239.0 0.14314958357846708
com.google.javascript.jscomp.InlineFunctions:666	5.0 239.0 0.14314958357846708
com.google.javascript.jscomp.InlineFunctions:667	5.0 239.0 0.14314958357846708
com.google.javascript.rhino.Token:211	5.0 243.0 0.1419904585617662
com.google.javascript.jscomp.NodeUtil:3335	5.0 243.0 0.1419904585617662
com.google.javascript.jscomp.NodeUtil:3326	5.0 244.0 0.14170505031628391
com.google.javascript.jscomp.NodeUtil:3327	5.0 244.0 0.14170505031628391
com.google.javascript.jscomp.NodeUtil:3328	5.0 244.0 0.14170505031628391
com.google.javascript.jscomp.NodeUtil:3329	5.0 244.0 0.14170505031628391
com.google.javascript.jscomp.NodeUtil:3330	5.0 244.0 0.14170505031628391
com.google.javascript.jscomp.NodeUtil:3334	5.0 244.0 0.14170505031628391
com.google.javascript.jscomp.NodeUtil:3337	5.0 244.0 0.14170505031628391
com.google.javascript.jscomp.NodeUtil:3338	5.0 244.0 0.14170505031628391
com.google.javascript.jscomp.NodeUtil:3339	5.0 244.0 0.14170505031628391
com.google.javascript.jscomp.NodeUtil:3340	5.0 244.0 0.14170505031628391
com.google.javascript.jscomp.NodeUtil:3341	5.0 244.0 0.14170505031628391
com.google.javascript.jscomp.NodeUtil:3343	5.0 244.0 0.14170505031628391
