org.joda.time.Partial:224	1.0 1.0 0.7071067811865475
org.joda.time.Partial:223	1.0 5.0 0.4082482904638631
org.joda.time.field.UnsupportedDurationField:32	1.0 5.0 0.4082482904638631
org.joda.time.field.UnsupportedDurationField:227	1.0 5.0 0.4082482904638631
org.joda.time.DurationFieldType:286	1.0 8.0 0.3333333333333333
org.joda.time.Partial:222	1.0 13.0 0.2672612419124244
org.joda.time.Partial:140	1.0 15.0 0.25
org.joda.time.Partial:162	1.0 16.0 0.24253562503633297
org.joda.time.Partial:139	1.0 17.0 0.23570226039551587
org.joda.time.Partial:159	1.0 18.0 0.22941573387056174
org.joda.time.Partial:160	1.0 18.0 0.22941573387056174
org.joda.time.Partial:161	1.0 18.0 0.22941573387056174
org.joda.time.Partial:153	1.0 20.0 0.2182178902359924
org.joda.time.Partial:154	1.0 20.0 0.2182178902359924
org.joda.time.Partial:155	1.0 20.0 0.2182178902359924
org.joda.time.Partial:156	1.0 20.0 0.2182178902359924
org.joda.time.Partial:434	1.0 27.0 0.1889822365046136
org.joda.time.Partial:435	1.0 27.0 0.1889822365046136
org.joda.time.Partial:438	1.0 27.0 0.1889822365046136
org.joda.time.Partial:439	1.0 27.0 0.1889822365046136
org.joda.time.Partial:440	1.0 27.0 0.1889822365046136
org.joda.time.Partial:458	1.0 27.0 0.1889822365046136
org.joda.time.Partial:459	1.0 27.0 0.1889822365046136
org.joda.time.Partial:460	1.0 27.0 0.1889822365046136
org.joda.time.Partial:461	1.0 27.0 0.1889822365046136
org.joda.time.Partial:462	1.0 27.0 0.1889822365046136
org.joda.time.Partial:463	1.0 27.0 0.1889822365046136
org.joda.time.Partial:466	1.0 27.0 0.1889822365046136
org.joda.time.Partial:432	1.0 29.0 0.18257418583505536
org.joda.time.Partial:433	1.0 29.0 0.18257418583505536
org.joda.time.Partial:429	1.0 30.0 0.1796053020267749
org.joda.time.DateTimeFieldType:457	1.0 51.0 0.1386750490563073
org.joda.time.base.AbstractPartial:175	1.0 73.0 0.11624763874381928
org.joda.time.Partial:217	1.0 139.0 0.08451542547285165
org.joda.time.Partial:218	1.0 139.0 0.08451542547285165
org.joda.time.Partial:221	1.0 139.0 0.08451542547285165
org.joda.time.Partial:346	1.0 144.0 0.08304547985373997
org.joda.time.Partial:212	1.0 151.0 0.08111071056538127
org.joda.time.Partial:213	1.0 151.0 0.08111071056538127
org.joda.time.Partial:214	1.0 151.0 0.08111071056538127
org.joda.time.Partial:215	1.0 151.0 0.08111071056538127
org.joda.time.Partial:216	1.0 151.0 0.08111071056538127
org.joda.time.Partial:245	1.0 151.0 0.08111071056538127
org.joda.time.Partial:207	1.0 152.0 0.08084520834544433
org.joda.time.Partial:208	1.0 152.0 0.08084520834544433
org.joda.time.Partial:202	1.0 153.0 0.08058229640253803
org.joda.time.Partial:199	1.0 154.0 0.08032193289024989
org.joda.time.Partial:196	1.0 155.0 0.08006407690254357
org.joda.time.Partial:335	1.0 155.0 0.08006407690254357
org.joda.time.Partial:190	1.0 156.0 0.07980868844676221
org.joda.time.Partial:191	1.0 156.0 0.07980868844676221
org.joda.time.Partial:192	1.0 156.0 0.07980868844676221
org.joda.time.Partial:193	1.0 156.0 0.07980868844676221
org.joda.time.Partial:323	1.0 159.0 0.07905694150420949
org.joda.time.Partial:311	1.0 160.0 0.07881104062391006
org.joda.time.base.AbstractPartial:170	1.0 209.0 0.06900655593423542
org.joda.time.base.AbstractPartial:171	1.0 209.0 0.06900655593423542
org.joda.time.DurationFieldType:292	1.0 218.0 0.06757373783994859
org.joda.time.DateTimeFieldType:378	1.0 291.0 0.058520573598065284
org.joda.time.chrono.BuddhistChronology:86	1.0 563.0 0.04210759605332595
org.joda.time.field.BaseDateTimeField:818	1.0 600.0 0.04079085082240021
org.joda.time.field.BaseDateTimeField:804	1.0 601.0 0.04075695729696112
org.joda.time.chrono.BaseChronology:213	1.0 603.0 0.04068942293855797
org.joda.time.chrono.BaseChronology:199	1.0 604.0 0.040655781409087086
org.joda.time.chrono.BaseChronology:200	1.0 604.0 0.040655781409087086
org.joda.time.chrono.BaseChronology:201	1.0 604.0 0.040655781409087086
org.joda.time.chrono.BaseChronology:202	1.0 604.0 0.040655781409087086
org.joda.time.chrono.BaseChronology:207	1.0 604.0 0.040655781409087086
org.joda.time.field.BaseDateTimeField:758	1.0 605.0 0.04062222318511938
org.joda.time.field.BaseDateTimeField:772	1.0 605.0 0.04062222318511938
org.joda.time.chrono.BaseChronology:192	1.0 605.0 0.04062222318511938
org.joda.time.chrono.BaseChronology:183	1.0 607.0 0.040555355282690636
org.joda.time.chrono.BaseChronology:184	1.0 607.0 0.040555355282690636
org.joda.time.chrono.BaseChronology:185	1.0 607.0 0.040555355282690636
org.joda.time.chrono.BaseChronology:186	1.0 607.0 0.040555355282690636
org.joda.time.chrono.BaseChronology:187	1.0 607.0 0.040555355282690636
org.joda.time.chrono.CopticChronology:89	1.0 610.0 0.04045566970313674
org.joda.time.base.AbstractPartial:105	1.0 641.0 0.03946685189819292
org.joda.time.DurationFieldType:282	1.0 779.0 0.03580574370197165
org.joda.time.DurationFieldType:284	1.0 779.0 0.03580574370197165
org.joda.time.DateTimeFieldType:492	1.0 826.0 0.03477340712103605
org.joda.time.chrono.BuddhistChronology:67	1.0 926.0 0.0328443092721431
org.joda.time.chrono.BuddhistChronology:73	1.0 926.0 0.0328443092721431
org.joda.time.chrono.BuddhistChronology:76	1.0 926.0 0.0328443092721431
org.joda.time.chrono.BuddhistChronology:106	1.0 926.0 0.0328443092721431
org.joda.time.chrono.BuddhistChronology:110	1.0 926.0 0.0328443092721431
org.joda.time.chrono.BuddhistChronology:111	1.0 926.0 0.0328443092721431
org.joda.time.chrono.BuddhistChronology:112	1.0 926.0 0.0328443092721431
org.joda.time.chrono.BuddhistChronology:114	1.0 926.0 0.0328443092721431
org.joda.time.chrono.BuddhistChronology:116	1.0 926.0 0.0328443092721431
org.joda.time.chrono.BuddhistChronology:117	1.0 926.0 0.0328443092721431
org.joda.time.chrono.BuddhistChronology:118	1.0 926.0 0.0328443092721431
org.joda.time.chrono.BuddhistChronology:120	1.0 926.0 0.0328443092721431
org.joda.time.chrono.BuddhistChronology:121	1.0 926.0 0.0328443092721431
org.joda.time.chrono.BuddhistChronology:133	1.0 926.0 0.0328443092721431
org.joda.time.chrono.BuddhistChronology:134	1.0 926.0 0.0328443092721431
org.joda.time.chrono.BuddhistChronology:217	1.0 926.0 0.0328443092721431
