com.google.javascript.jscomp.NodeUtil:2465	5.0 11.0 0.472455591261534
com.google.javascript.jscomp.PureFunctionIdentifier:160	2.0 1.0 0.4364357804719848
com.google.javascript.jscomp.PureFunctionIdentifier:336	4.0 11.0 0.3903600291794133
com.google.javascript.jscomp.PureFunctionIdentifier:555	4.0 12.0 0.3779644730092272
com.google.javascript.jscomp.PureFunctionIdentifier:556	4.0 12.0 0.3779644730092272
com.google.javascript.jscomp.PureFunctionIdentifier:558	4.0 12.0 0.3779644730092272
com.google.javascript.jscomp.PureFunctionIdentifier:445	4.0 17.0 0.329914439536929
com.google.javascript.jscomp.PureFunctionIdentifier:159	5.0 31.0 0.314970394174356
com.google.javascript.jscomp.NodeUtil:825	6.0 48.0 0.3086066999241838
com.google.javascript.jscomp.PureFunctionIdentifier:584	5.0 33.0 0.3065696697424829
com.google.javascript.jscomp.PureFunctionIdentifier:590	5.0 33.0 0.3065696697424829
com.google.javascript.jscomp.NodeUtil:2416	6.0 52.0 0.29777500019127906
com.google.javascript.jscomp.NodeUtil:2425	6.0 52.0 0.29777500019127906
com.google.javascript.jscomp.NodeUtil:692	4.0 26.0 0.2760262237369417
com.google.javascript.jscomp.NodeUtil:701	6.0 63.0 0.273009453115974
com.google.javascript.rhino.Token:316	4.0 27.0 0.27153769332085226
com.google.javascript.jscomp.NodeUtil:681	6.0 64.0 0.2710523708715754
com.google.javascript.jscomp.PureFunctionIdentifier:864	2.0 6.0 0.2672612419124244
com.google.javascript.jscomp.PureFunctionIdentifier:865	2.0 6.0 0.2672612419124244
com.google.javascript.jscomp.PureFunctionIdentifier:866	2.0 6.0 0.2672612419124244
com.google.javascript.jscomp.NodeUtil:695	6.0 67.0 0.2654243731222853
com.google.javascript.jscomp.NodeUtil:696	6.0 67.0 0.2654243731222853
com.google.javascript.jscomp.NodeUtil:796	7.0 93.0 0.2645751311064591
com.google.javascript.jscomp.NodeUtil:797	7.0 93.0 0.2645751311064591
com.google.javascript.jscomp.NodeUtil:686	6.0 69.0 0.2618614682831909
com.google.javascript.jscomp.NodeUtil:691	6.0 69.0 0.2618614682831909
com.google.javascript.rhino.Token:305	6.0 69.0 0.2618614682831909
com.google.javascript.jscomp.PureFunctionIdentifier:164	4.0 30.0 0.25928148942086576
com.google.javascript.jscomp.PureFunctionIdentifier:165	4.0 30.0 0.25928148942086576
com.google.javascript.jscomp.PureFunctionIdentifier:783	4.0 32.0 0.2519763153394848
com.google.javascript.jscomp.PureFunctionIdentifier:789	4.0 32.0 0.2519763153394848
com.google.javascript.jscomp.PureFunctionIdentifier:529	4.0 33.0 0.24854790640048002
com.google.javascript.jscomp.NodeUtil:1462	4.0 34.0 0.24525573579398632
com.google.javascript.jscomp.PureFunctionIdentifier:326	6.0 82.0 0.24174688920761409
com.google.javascript.jscomp.PureFunctionIdentifier:334	6.0 82.0 0.24174688920761409
com.google.javascript.jscomp.PureFunctionIdentifier:340	6.0 82.0 0.24174688920761409
com.google.javascript.rhino.Node:932	4.0 42.0 0.22291128503014113
com.google.javascript.jscomp.PureFunctionIdentifier:314	6.0 99.0 0.22131333406899525
com.google.javascript.jscomp.SimpleDefinitionFinder:199	6.0 101.0 0.2192352285725609
com.google.javascript.jscomp.SimpleDefinitionFinder:241	6.0 101.0 0.2192352285725609
com.google.javascript.jscomp.NodeUtil:2531	1.0 2.0 0.2182178902359924
com.google.javascript.jscomp.PureFunctionIdentifier:848	2.0 10.0 0.2182178902359924
com.google.javascript.jscomp.PureFunctionIdentifier:849	2.0 10.0 0.2182178902359924
com.google.javascript.jscomp.PureFunctionIdentifier:856	2.0 10.0 0.2182178902359924
com.google.javascript.jscomp.PureFunctionIdentifier:799	2.0 10.0 0.2182178902359924
com.google.javascript.jscomp.PureFunctionIdentifier:509	6.0 102.0 0.21821789023599236
com.google.javascript.jscomp.PureFunctionIdentifier:125	6.0 103.0 0.21721458427679896
com.google.javascript.jscomp.PureFunctionIdentifier:126	6.0 103.0 0.21721458427679896
com.google.javascript.jscomp.PureFunctionIdentifier:128	6.0 103.0 0.21721458427679896
com.google.javascript.jscomp.PureFunctionIdentifier:138	6.0 103.0 0.21721458427679896
