org.apache.commons.lang3.time.FastDateParser:180	1.0 0.0 0.7071067811865475
org.apache.commons.lang3.time.FastDateParser:685	1.0 8.0 0.23570226039551587
org.apache.commons.lang3.time.FastDateParser:686	1.0 8.0 0.23570226039551587
org.apache.commons.lang3.time.FastDateParser:687	1.0 8.0 0.23570226039551587
org.apache.commons.lang3.time.FastDateParser:696	1.0 8.0 0.23570226039551587
org.apache.commons.lang3.time.FastDateParser:697	1.0 8.0 0.23570226039551587
org.apache.commons.lang3.time.FastDateParser:850	1.0 13.0 0.1889822365046136
org.apache.commons.lang3.time.FastDateParser:250	1.0 16.0 0.17149858514250882
org.apache.commons.lang3.time.FastDateParser:251	1.0 16.0 0.17149858514250882
org.apache.commons.lang3.time.FastDateParser:260	1.0 16.0 0.17149858514250882
org.apache.commons.lang3.time.FastDateParser:276	1.0 17.0 0.16666666666666666
org.apache.commons.lang3.time.FastDateParser:277	1.0 17.0 0.16666666666666666
org.apache.commons.lang3.time.FastDateParser:278	1.0 17.0 0.16666666666666666
org.apache.commons.lang3.time.FastDateParser:282	1.0 17.0 0.16666666666666666
org.apache.commons.lang3.time.FastDateParser:283	1.0 17.0 0.16666666666666666
org.apache.commons.lang3.time.FastDateParser:285	1.0 17.0 0.16666666666666666
org.apache.commons.lang3.time.FastDateParser:286	1.0 17.0 0.16666666666666666
org.apache.commons.lang3.time.FastDateParser:287	1.0 17.0 0.16666666666666666
org.apache.commons.lang3.time.FastDateParser:288	1.0 17.0 0.16666666666666666
org.apache.commons.lang3.time.FastDateParser:289	1.0 17.0 0.16666666666666666
org.apache.commons.lang3.time.FastDateParser:290	1.0 17.0 0.16666666666666666
org.apache.commons.lang3.time.FastDateParser:741	1.0 17.0 0.16666666666666666
org.apache.commons.lang3.time.FastDateParser:742	1.0 17.0 0.16666666666666666
org.apache.commons.lang3.time.FastDateParser:395	1.0 42.0 0.10783277320343841
org.apache.commons.lang3.time.FastDateParser:396	1.0 42.0 0.10783277320343841
org.apache.commons.lang3.time.FastDateParser:555	1.0 42.0 0.10783277320343841
org.apache.commons.lang3.time.FastDateParser:379	1.0 49.0 0.1
org.apache.commons.lang3.time.FastDateParser:380	1.0 49.0 0.1
org.apache.commons.lang3.time.FastDateParser:381	1.0 49.0 0.1
org.apache.commons.lang3.time.FastDateParser:382	1.0 49.0 0.1
org.apache.commons.lang3.time.FastDateParser:383	1.0 49.0 0.1
org.apache.commons.lang3.time.FastDateParser:406	1.0 49.0 0.1
org.apache.commons.lang3.time.FastDateParser:407	1.0 49.0 0.1
org.apache.commons.lang3.time.FastDateParser:411	1.0 49.0 0.1
org.apache.commons.lang3.time.FastDateParser:434	1.0 49.0 0.1
org.apache.commons.lang3.time.FastDateParser:435	1.0 49.0 0.1
org.apache.commons.lang3.time.FastDateParser:436	1.0 49.0 0.1
org.apache.commons.lang3.time.FastDateParser:437	1.0 49.0 0.1
org.apache.commons.lang3.time.FastDateParser:446	1.0 49.0 0.1
org.apache.commons.lang3.time.FastDateParser:447	1.0 49.0 0.1
org.apache.commons.lang3.time.FastDateParser:448	1.0 49.0 0.1
org.apache.commons.lang3.time.FastDateParser:449	1.0 49.0 0.1
org.apache.commons.lang3.time.FastDateParser:450	1.0 49.0 0.1
org.apache.commons.lang3.time.FastDateParser:454	1.0 49.0 0.1
org.apache.commons.lang3.time.FastDateParser:465	1.0 49.0 0.1
org.apache.commons.lang3.time.FastDateParser:466	1.0 49.0 0.1
org.apache.commons.lang3.time.FastDateParser:467	1.0 49.0 0.1
org.apache.commons.lang3.time.FastDateParser:468	1.0 49.0 0.1
org.apache.commons.lang3.time.FastDateParser:469	1.0 49.0 0.1
org.apache.commons.lang3.time.FastDateParser:473	1.0 49.0 0.1
org.apache.commons.lang3.time.FastDateParser:369	1.0 49.0 0.1
org.apache.commons.lang3.time.FastDateParser:357	1.0 49.0 0.1
org.apache.commons.lang3.time.FastDateParser:358	1.0 49.0 0.1
org.apache.commons.lang3.time.FastDateParser:359	1.0 49.0 0.1
org.apache.commons.lang3.time.FastDateParser:360	1.0 49.0 0.1
org.apache.commons.lang3.time.FastDateParser:672	1.0 49.0 0.1
org.apache.commons.lang3.time.FastDateParser:673	1.0 49.0 0.1
org.apache.commons.lang3.time.FastDateParser:674	1.0 49.0 0.1
org.apache.commons.lang3.time.FastDateParser:676	1.0 49.0 0.1
org.apache.commons.lang3.time.FastDateParser:677	1.0 49.0 0.1
org.apache.commons.lang3.time.FastDateParser:308	1.0 55.0 0.0944911182523068
org.apache.commons.lang3.time.FastDateParser:309	1.0 55.0 0.0944911182523068
org.apache.commons.lang3.time.FastDateParser:310	1.0 55.0 0.0944911182523068
org.apache.commons.lang3.time.FastDateParser:145	1.0 66.0 0.08638684255813601
org.apache.commons.lang3.time.FastDateParser:314	1.0 66.0 0.08638684255813601
org.apache.commons.lang3.time.FastDateParser:315	1.0 66.0 0.08638684255813601
org.apache.commons.lang3.time.FastDateParser:340	1.0 66.0 0.08638684255813601
org.apache.commons.lang3.time.FastDateParser:565	1.0 66.0 0.08638684255813601
org.apache.commons.lang3.time.FastDateParser:68	1.0 67.0 0.08574929257125441
org.apache.commons.lang3.time.FastDateParser:304	1.0 67.0 0.08574929257125441
org.apache.commons.lang3.time.FastDateParser:305	1.0 67.0 0.08574929257125441
org.apache.commons.lang3.time.FastDateParser:306	1.0 67.0 0.08574929257125441
org.apache.commons.lang3.time.FastDateParser:307	1.0 67.0 0.08574929257125441
org.apache.commons.lang3.time.FastDateParser:342	1.0 67.0 0.08574929257125441
org.apache.commons.lang3.time.FastDateParser:551	1.0 67.0 0.08574929257125441
org.apache.commons.lang3.time.FastDateParser:612	1.0 67.0 0.08574929257125441
org.apache.commons.lang3.time.FastDateParser:613	1.0 67.0 0.08574929257125441
org.apache.commons.lang3.time.FastDateParser:614	1.0 67.0 0.08574929257125441
org.apache.commons.lang3.time.FastDateParser:621	1.0 67.0 0.08574929257125441
org.apache.commons.lang3.time.FastDateParser:622	1.0 67.0 0.08574929257125441
org.apache.commons.lang3.time.FastDateParser:625	1.0 67.0 0.08574929257125441
org.apache.commons.lang3.time.FastDateParser:633	1.0 67.0 0.08574929257125441
org.apache.commons.lang3.time.FastDateParser:634	1.0 67.0 0.08574929257125441
org.apache.commons.lang3.time.FastDateParser:104	1.0 68.0 0.08512565307587486
org.apache.commons.lang3.time.FastDateParser:105	1.0 68.0 0.08512565307587486
