org.apache.commons.math3.util.FastMath:1542	1.0 0.0 1.0
org.apache.commons.math3.util.FastMath:1541	1.0 4.0 0.4472135954999579
org.apache.commons.math3.random.MersenneTwister:131	1.0 46.0 0.14586499149789456
org.apache.commons.math3.random.MersenneTwister:132	1.0 46.0 0.14586499149789456
org.apache.commons.math3.random.MersenneTwister:133	1.0 46.0 0.14586499149789456
org.apache.commons.math3.random.MersenneTwister:134	1.0 46.0 0.14586499149789456
org.apache.commons.math3.random.MersenneTwister:94	1.0 69.0 0.11952286093343936
org.apache.commons.math3.random.MersenneTwister:144	1.0 69.0 0.11952286093343936
org.apache.commons.math3.random.MersenneTwister:146	1.0 69.0 0.11952286093343936
org.apache.commons.math3.random.MersenneTwister:147	1.0 69.0 0.11952286093343936
org.apache.commons.math3.random.MersenneTwister:150	1.0 69.0 0.11952286093343936
org.apache.commons.math3.random.MersenneTwister:151	1.0 69.0 0.11952286093343936
org.apache.commons.math3.random.MersenneTwister:154	1.0 69.0 0.11952286093343936
org.apache.commons.math3.random.MersenneTwister:155	1.0 69.0 0.11952286093343936
org.apache.commons.math3.random.MersenneTwister:167	1.0 69.0 0.11952286093343936
org.apache.commons.math3.random.MersenneTwister:172	1.0 69.0 0.11952286093343936
org.apache.commons.math3.random.MersenneTwister:173	1.0 69.0 0.11952286093343936
org.apache.commons.math3.random.MersenneTwister:174	1.0 69.0 0.11952286093343936
org.apache.commons.math3.random.MersenneTwister:176	1.0 69.0 0.11952286093343936
org.apache.commons.math3.random.MersenneTwister:177	1.0 69.0 0.11952286093343936
org.apache.commons.math3.random.MersenneTwister:178	1.0 69.0 0.11952286093343936
org.apache.commons.math3.random.MersenneTwister:179	1.0 69.0 0.11952286093343936
org.apache.commons.math3.random.MersenneTwister:180	1.0 69.0 0.11952286093343936
org.apache.commons.math3.random.MersenneTwister:181	1.0 69.0 0.11952286093343936
org.apache.commons.math3.random.MersenneTwister:182	1.0 69.0 0.11952286093343936
org.apache.commons.math3.random.MersenneTwister:183	1.0 69.0 0.11952286093343936
org.apache.commons.math3.random.MersenneTwister:184	1.0 69.0 0.11952286093343936
org.apache.commons.math3.random.MersenneTwister:186	1.0 69.0 0.11952286093343936
